,,,,,,,,,,,,,,,,,,txtTitle,,,,,,,,
,,,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,,,
repName,repCode,PAYMENTDATE,PREPAYMENTCODE,Text126,Text127,BUDGETGROUPID,PAYCODE,Text90,RECEIVEDATETIME,CR,Text97,Text116,Text119,Text122,Text99,CREATEUSERID,Text95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19/10/2020,03TH640020,03DH640035,D0364130004,บริษัท สบายพระราม 8 พร็อพเพอตี้ จำกัด,036400040,โครงการต่อเนื่อง,เบิกจ่ายค่าเช่าหอพักสบายดี พระราม 8 ประจำเดือน กันยายน 2563,"779,100.00",7665.98,0.00,0.00,0,771434.02,,19 ต.ค. 20,,,,,,,,,
,,,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,Text76,Text77,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,,,,,402110: บริษัท สบายพระราม 8 พร็อพเพอตี้ จำกัด,10298341,,,
,,19/10/2020,03TH640021,03DH640024,D0364110022,บริษัทโอเร็กซ์ เทรดดิ้ง จำกัด,036400043,โครงการต่อเนื่อง,ค่าเวชภัณฑ์ที่มิใช่ยา จำนวน 1 รายการ Po.3C06-07/2563 #24 เลขที่กันเงิน 0113,"31,800.00",297.2,0.00,0.00,0,31502.8,,19 ต.ค. 20,,,,,,,,,
,,,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,Text76,Text77,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,,,,,401186: บริษัท  โอเร็กซ์ เทรดดิ้ง จำกัด,10298342,,,
,,19/10/2020,03TH640022,03DH640042,D0364120004,บริษัทโอลิมปัส (ประเทศไทย) จำกัด,036400041,ค่าใช้สอย,จ้างเหมาซ่อมกล้องส่องตรวจระบบทางเดินฯ,"162,010.84",1514.12,0.00,0.00,0,160496.72,,19 ต.ค. 20,,,,,,,,,
,,,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,Text76,Text77,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,,,,,401469: บริษัท  โอลิมปัส (ประเทศไทย) จำกัด,10298343,,,
,,19/10/2020,03TH640023,03DH640050,D0364120008,บริษัทธนูเทพ จำกัด,036400042,ค่าใช้สอย,จ้างเหมาซ่อมเปลี่ยนชุดควบคุมประตูไฟฟ้าอัตโนมัติ,"15,194.00",142,0.00,0.00,0,15052,,19 ต.ค. 20,,,,,,,,,
,,,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,Text76,Text77,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,,,,,402057: บริษัท  ธนูเทพ จำกัด,10298344,,,
,,,,,,,,,,"988,104.84",,0.00,0.00,,,,,,,,,,,,,
