,,,,,,,,,,,,txtTitle
,,,,เลขใบขอเบิก,เลขใบตั้งหนี้,,,,,,,ระบบบัญชี
repName,repCode,xpdate,PREPAYMENTDATE,xLINKTYPE,PREPAYMENTCODE,txtREFERNAME,ACCOUNTID,Text73,drsum,crsum,Text55,
,,ประเภท 03DH : ตรวจรับ (รายได้),,,,,,,,,,
,,,,,,,,,,,,
,,,15/7/2020,ซื้อ/จ้าง : D0364110001,03DH640001,402283บริษัทวินเทค 24 จำกัด,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,28800, ,ค่าอวัยวะเทียมจำนวน 1 รายการ 3C190-05/2563#1 เลขกันเงิน#0184,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,28800,,
,,,3/9/2020,ซื้อ/จ้าง : D0364110002,03DH640004,401357สถาบันเทคโนโลยีนิวเคลียร์แห่งชาติ (องค์การมหาชน),20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,5885,ค่าเวชภัณฑ์ที่มิใช่ยาจำนวน 3 รายการ 3C85-06/2563#4 เลขที่กันเงิน#0226,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,5885, ,,
,,,30/7/2020,ซื้อ/จ้าง : D0364110007,03DH640007,402376บริษัทยูนิตี้ เด็นตัล จำกัด,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,24500,ค่าเวชภัณฑ์ที่มิใช่ยา จำนวน 3 รายการ P0.0599/63#7 เลขที่กันเงิน#0095,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,24500, ,,
,,,20/8/2020,ซื้อ/จ้าง : D0364110008,03DH640008,401169บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,238440, ,ค่าอวัยวะเทียม จำนวน 3 รายการ3C173-01/2563#8 เลขที่กันเงิน#0040,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,238440,,
