,,,,,,,,,,,,txtTitle
,,,,,,,,,,,,ระบบบัญชี
repName,repCode,xpdate,PREPAYMENTDATE,xLINKTYPE,PREPAYMENTCODE,txtREFERNAME,ACCOUNTID,Text73,drsum,crsum,Text55,
,,ประเภท 03DH : ตรวจรับ (รายได้),,,,,,,,,,
,,,,,,,,,,,,
,,,15/7/2020,ซื้อ/จ้าง : D0364110001,03DH640001,402283บริษัทวินเทค 24 จำกัด,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,28800, ,ค่าอวัยวะเทียมจำนวน 1 รายการ 3C190-05/2563#1 เลขกันเงิน#0184,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,28800,,
,,,3/9/2020,ซื้อ/จ้าง : D0364110002,03DH640004,401357สถาบันเทคโนโลยีนิวเคลียร์แห่งชาติ (องค์การมหาชน),20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,5885,ค่าเวชภัณฑ์ที่มิใช่ยาจำนวน 3 รายการ 3C85-06/2563#4 เลขที่กันเงิน#0226,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,5885, ,,
,,,15/9/2020,ซื้อ/จ้าง : D0364110004,03DH640005,401357สถาบันเทคโนโลยีนิวเคลียร์แห่งชาติ (องค์การมหาชน),20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,5885,ค่าเวชภัณฑ์ที่มิใช่ยาจำนวน 1 รายการ 3C85-07/2563#5 เลขที่กันเงิน#0226,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,5885, ,,
,,,30/7/2020,ซื้อ/จ้าง : D0364110007,03DH640007,402376บริษัทยูนิตี้ เด็นตัล จำกัด,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,24500,ค่าเวชภัณฑ์ที่มิใช่ยา จำนวน 3 รายการ P0.0599/63#7 เลขที่กันเงิน#0095,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,24500, ,,
,,,20/8/2020,ซื้อ/จ้าง : D0364110008,03DH640008,401169บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,238440, ,ค่าอวัยวะเทียม จำนวน 3 รายการ3C173-01/2563#8 เลขที่กันเงิน#0040,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,238440,,
,,,24/7/2020,ซื้อ/จ้าง : D0364110013,03DH640012,401932บริษัทดีไวซ์ อินโนเวชั่น จำกัด,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,1097600, ,ค่าอวัยวะเทียม จำนวน 17 รายการ 3C312-01/2563#12 เลขที่กันเงิน0043,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,1097600,,
,,,24/7/2020,ซื้อ/จ้าง : D0364110009,03DH640016,402180ห้างหุ้นส่วนจำกัด ป.เวชชูปกรณ์,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,100190,เวชภัณฑ์ที่มิใช่ยา จำนวน 6 รายการ ใบสั่งซื้อเลขที่ 0663R/63,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,100190, ,,
,,,29/7/2020,ซื้อ/จ้าง : D0364110016,03DH640018,402505บริษัทไบโอคอททอน จำกัด,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,5040,ค่าเวชภัณฑ์ที่มิใช่ยา จำนวน 2 รายการ Po.0601/63 #18 เลขที่กันเงิน 0100,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,5040, ,,
,,,29/7/2020,ซื้อ/จ้าง : D0364110017,03DH640019,401186บริษัทโอเร็กซ์ เทรดดิ้ง จำกัด,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,108802.8,เวชภัณฑ์ที่มิใช่ยา จำนวน 2 รายการ Po.0664R/63 #19 เลขที่กันเงิน 0101,
,,,,,,,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,108802.8, ,,
,,,19/6/2020,ซื้อ/จ้าง : D0364110018,03DH640020,401662บริษัทเอฟ.ซี.พี จำกัด,50304020331,ค่ายาและเวชภัณฑ์ อวัยวะเทียม-จากเงินรายได้ฯ,80000, ,ค่าเวชภัณฑ์ที่มิใช่ยา จำนวน 2 รายการ Po.0634/63 #20 เลขที่กันเงิน 0042,
,,,,,,,20101010101,    เจ้าหนี้ค่าสินค้าและบริการ, ,80000,,
,,,,,,,,,"1,695,142.80","1,695,142.80",,
