i_rank_show,c_comment,c_expense_group_main,c_creditor,c_acc_item2,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้, วันที่ตรวจรับ , จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
1,โครงการก่อสร้างอาคารบริการวิชาการฯงวดที่ 22,ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง,บริษัท เอ็ลแอล ดีเวลลอปเมนต์จำกัด (มหาชน), 15 ก.ย. 63," 36,645,149.11 ",10208010101,งานระหว่างดำเนินการ,20101040101,เจ้าหนี้งานก่อสร้าง
2,โครงการก่อสร้างอาคารผู้ป่วยนอก 9 ชั้นและที่จอดรถใต้ดิน ฯ งวดที่ 71,ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง,บริษัท เอ็ลแอล ดีเวลลอปเมนต์จำกัด (มหาชน), 30 ก.ย. 63," 29,000,000.00 ",10208010101,งานระหว่างดำเนินการ,20101040101,เจ้าหนี้งานก่อสร้าง
3,โครงการก่อสร้างอาคารผู้ป่วยนอก 9 ชั้นและที่จอดรถใต้ดิน ฯ งวดที่ 72,ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง,บริษัท เอ็ลแอล ดีเวลลอปเมนต์จำกัด (มหาชน), 30 ก.ย. 63," 7,300,000.00 ",10208010101,งานระหว่างดำเนินการ,20101040101,เจ้าหนี้งานก่อสร้าง
4,จ้างเหมาพิมพ์สติ๊กเกอร์ จำนวน 2 รายการ,ค่าวัสดุ,หจก.ดานู การพิมพ์,25 ส.ค 63," 76,000.00 ",50301020302,ค่าวัสดุสำนักงาน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
5,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทบางกอกดรัก จำกัด,10 ก.ย.2563," 114,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
6,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทอเมริกัน ไต้หวัน ไบโอฟาร์ม จำกัด,10 ก.ย.2563," 214,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
7,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,10 ก.ย.2563," 287,908.11 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
8,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัท ส.เจริญเภสัชเทรดดิ้ง จำกัด,10 ก.ย.2563," 117,600.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
9,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทแปซิฟิค เฮลธ์แคร์,9 ก.ย.2563," 417,300.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
