i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,จ้างควบคุมงานโครงการก่อสร้างอาคารบริการวิชาการฯ งวดที่ 22,ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง,กิจการร่วมค้า วันดีทู เอส.เอส. เอ็นจิเนียริ่ง คอนซัลแตนท์,2020-09-15," 1,130,000.00 ",10208010101,งานระหว่างดำเนินการ,20101040101,เจ้าหนี้งานก่อสร้าง,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,จ้างควบคุมงานโครงการก่อสร้างอาคารผู้ป่วยนอก 9 ชั้นฯ งวดที่ 69 ถึง 70 จำนวน 2 งวด,ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2020-09-30," 668,000.00 ",10208010101,งานระหว่างดำเนินการ,20101040101,เจ้าหนี้งานก่อสร้าง,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"จ้างควบคุมงานโครงการก่อสร้างอาคารผู้ป่วยนอก 9 ชั้น และที่จอดรถใต้ดิน ฯงวดที่ 63, 65 ถึง 68 จำนวน 5 งวดงาน",ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2020-08-20," 1,670,000.00 ",10208010101,งานระหว่างดำเนินการ,20101040101,เจ้าหนี้งานก่อสร้าง,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ตู้เย็นเก็บเลือด 4 องศาเซลเซียส(Blood bank refrigerators) ขนาดความจุ1381 ลิตร จำนวน 1 ตู้,ค่าครุภัณฑ์ที่ดินและสิ่งก่อสร้าง, บริษัท จรัญเอสโซซิเอทส์ จำกัด ,2020-09-14," 539,900.00 ",10205070101,ครุภัณฑ์วิทยาศาสตร์และการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ค่าธรรมเนียมการตรวจประเมินฯค่าตรวจรับรองระบบ GMP in Mass Catering,ค่าใช้สอย,อุตสาหกรรมพัฒนามูลนิธิเพื่อสถาบันอาหาร,2020-09-30," 15,000.00 ",50301020255,ค่าธรรมเนียมการต่ออายุใบอนุญาต/ค่าธรรมเนียมการตรวจประเมิน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ค่าตรวจรับรองระบบ HACCP (Hazard Analysis and Critical Control Point),ค่าใช้สอย,อุตสาหกรรมพัฒนามูลนิธิเพื่อสถาบันอาหาร,2020-09-30," 42,800.00 ",50301020255,ค่าธรรมเนียมการต่ออายุใบอนุญาต/ค่าธรรมเนียมการตรวจประเมิน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,จ้างเหมาซ่อมเครื่องดมยาสลบ ชนิด 3 ก๊าซ,ค่าใช้สอย,บริษัท  เดรเกอร์  เมดิคัล(ประเทศไทย) จำกัด,2020-09-08," 59,920.00 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,จ้างเหมาซ่อมกล้องจุลทรรศน์ชนิดสเตอริโอ 2 กระบอก,ค่าใช้สอย,บริษัท ฮอลลรวู้ด อินเตอร์เนชั่นแนลท จำกัด,2020-09-04," 9,095.00 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,จ้างเหมาซ่อมกล้องส่องตรวจลำไส้เล็กส่วนต้นและท่อน้ำดีชนิดวีดีทัศน์,ค่าใช้สอย,บริษัท  โอลิมปัส (ประเทศไทย) จำกัด,2020-09-21," 231,500.92 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
