i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,
101,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0326/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-08-14," 117,700.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
102,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0326/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-09-08," 245,030.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
103,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0327/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-14," 148,088.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
104,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0327/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-06-09," 759,700.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
105,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0328/63-65,โครงการต่อเนื่อง,บริษัท โมเดิร์น แบรนด์ส จำกัด,2020-09-01," 181,900.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
106,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0328/63-65,โครงการต่อเนื่อง,บริษัท โมเดิร์น แบรนด์ส จำกัด,2020-09-14," 815,768.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
107,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0328/63-65,โครงการต่อเนื่อง,บริษัท โมเดิร์น แบรนด์ส จำกัด,2020-06-15," 451,968.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
108,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0329/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-08," 70,299.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
109,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0329/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-14," 2,404,334.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,40,,,
