i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
201,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0365/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-18," 350,692.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
202,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0365/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-24," 259,705.60 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
203,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0365/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-28," 104,902.80 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
204,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0365/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-08," 17,828.34 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
205,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0365/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-17," 1,733,536.24 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
206,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0366/63-65,โครงการต่อเนื่อง,บริษัท บี.เอ็ล.ฮั้ว จำกัด,2020-08-28," 198,042.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
207,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0366/63-65,โครงการต่อเนื่อง,บริษัท บี.เอ็ล.ฮั้ว จำกัด,2020-09-14," 893,542.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
208,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0367/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-08-14," 642,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
209,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0367/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-09-08," 735,090.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
210,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0367/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-09-11," 828,180.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
211,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0368/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-21," 114,597.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
