bgtyptnm,ปีงบ,paydate,paytime,rcvno,dkno,หมวดรายจ่าย,bglst,bglstnm,lstnm,paytonm,dkamt,vatamt,taxntramt,taxjrtamt,socamt,pljobperamt,fineamt,total,banknm,branchnm,checksno,checksamt,note
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,90047,610000164,610000085,ค่าตอบแทน ใช้สอยและวัสดุ,6004121,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์,อู่เปี๊ยกยนต์,4910,343.7,0,0,0,0,0,5253.7,ธนาคารกรุงไทย,ศรีย่าน,10144421,5253.7,"จ้างเหมาซ่อมรถโดยสารขนาด 12 ที่นั่ง 
จำนวน  3  คัน"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85924,610000041,610000054,ค่าตอบแทน ใช้สอยและวัสดุ,6004122,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์และสาธารณสุข,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์และสาธารณสุข,บริษัท ซิลลิค ฟาร์มา จำกัด,11200,784,0,112,0,0,0,11872,ธนาคารกรุงไทย,ศรีย่าน,"10144422,29",11872,"จ้างเหมาซ่อมเครื่องควบคุม
การให้ของเหลวฯ จำนวน  2  เครื่อง"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85856,610000051,610000055,ค่าตอบแทน ใช้สอยและวัสดุ,6004122,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์และสาธารณสุข,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์และสาธารณสุข,บริษัท เอสที คลีน แอร์ ซิสเทมส์ จำกัด,68000,4760,0,680,0,0,0,72080,ธนาคารกรุงไทย,ศรีย่าน,"10144423,29",72080,"จ้างเหมาซ่อมเครื่องทางการแพทย์ฯ
จำนวน  1  เครื่อง"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85824,610000037,610000036,ค่าตอบแทน ใช้สอยและวัสดุ,6004143,ค่าวัสดุุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,ค่าวัสดุุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,บริษัท มิตซูบิชิ เอลเลเวเตอร์ (ประเทศไทย) จำกัด,16750,1172.5,0,167.5,0,0,0,17755,ธนาคารกรุงไทย,ศรีย่าน,"10144424,29",17755,จัดซื้อวัสดุ จำนวน 3 รายการ
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85752,610000038,610000037,ค่าตอบแทน ใช้สอยและวัสดุ,6004143,ค่าวัสดุุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,ค่าวัสดุุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,บริษัท ซิกม่า เอลิเวเตอร์ (ประเทศไทย) จำกัด,12500,875,0,125,0,0,0,13250,ธนาคารกรุงไทย,ศรีย่าน,"10144425,29",13250,จัดซื้อวัสดุ จำนวน 1 รายการ
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85717,610000039,610000038,ค่าตอบแทน ใช้สอยและวัสดุ,6004143,ค่าวัสดุุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,ค่าวัสดุุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,บริษัท ธิสเซ่นครุปป์ เอลลิเวเตอร์ (ประเทศไทย) จำกัด,91800,6426,0,918,0,0,0,97308,ธนาคารกรุงไทย,ศรีย่าน,"10144426,29",97308,จัดซื้อวัสดุ จำนวน 2 รายการ
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85643,610000042,610000039,ค่าตอบแทน ใช้สอยและวัสดุ,594021,ค่าวัสดุสำนักงาน,ค่าวัสดุสำนักงาน,บริษัท บีไอ ซีสเตมส์ จำกัด,279400,19558,0,2794,0,0,0,296164,ธนาคารกรุงไทย,ศรีย่าน,"10144427,29",296164,จัดซื้อวัสดุ จำนวน 1 รายการ
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85538,610000012,610000040,ค่าตอบแทน ใช้สอยและวัสดุ,6004121,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์,ห้างหุ้นส่วนจำกัด เด่นชัย เอ็นจิเนียริ่ง,330000,23100,0,3300,0,0,0,349800,ธนาคารกรุงไทย,ศรีย่าน,"10144428,29",349800,"จ้างเหมาซ่อมเครื่องปรับอากาศฯ
จำนวน  1  เครื่อง"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85613,610000070,610000072,ค่าตอบแทน ใช้สอยและวัสดุ,6004121,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์,ห้างหุ้นส่วนจำกัด เด่นชัย เอ็นจิเนียริ่ง,26200,1834,0,262,0,0,0,27772,ธนาคารกรุงไทย,ศรีย่าน,"10144428,29",27772,"จ้างเหมาซ่อมเครื่องปรับอากาศฯ
จำนวน  1  เครื่อง"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2560,2017-10-17,85505,610000024,610000018,ค่าตอบแทน ใช้สอยและวัสดุ,6004122,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์และสาธารณสุข,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์และสาธารณสุข,บริษัท ทันตสยาม จำกัด,48177.57,3372.43,0,481.78,0,0,0,51068.22,ธนาคารกรุงไทย,ศรีย่าน,"10144430,36",51068.22,"จ้างเหมาซ่อมยูนิตทำฟัน
จำนวน  1  เครื่อง"
